objectid,filename,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language ,rights
news_001,Newsletter191.pdf,Newsletter 191:Keith's Corner-McGill News,Keith Gibson,2023-01-06,Coming Soon,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_002,Newsletter192.pdf,Newsletter 192:Keith's Corner-McGill News,Keith Gibson,2023-01-13,Coming Soon,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_003,Newsletter193.pdf,Newsletter 193:Keith's Corner-McGill News,Keith Gibson,2023-01-20,Coming Soon,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_004,Newsletter194.pdf,Newsletter 194:Keith's Corner-McGill News,Keith Gibson,2023-01-27,Coming Soon,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_005,Newsletter195.pdf,Newsletter 195:Keith's Corner-McGill News,Keith Gibson,2023-01-11,Coming Soon,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_006,Newsletter196.pdf,Newsletter 196:Keith's Corner-McGill News,Keith Gibson,2023-02-10,Coming Soon,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_007,Newsletter197.pdf,Newsletter 197:Keith's Corner-McGill News,Keith Gibson,2023-02-17,Coming Soon,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_008,Newsletter198.pdf,Newsletter 198:Keith's Corner-McGill News,Keith Gibson,2023-02-24,Sports were an important past time in McGill. ,Baseball,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_009,Newsletter199.pdf,Newsletter 199:Keith's Corner-McGill News,Keith Gibson,2023-02-19,Coming Soon,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_010,Newsletter200.pdf,Newsletter 200:Keith's Corner-McGill News,Keith Gibson,2023-02-20,Coming Soon,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_011,Newsletter201.pdf,Newsletter 201:Keith's Corner-McGill News,Keith Gibson,2023-02-21,Coming Soon,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_012,Newsletter202.pdf,Newsletter 202:Keith's Corner-McGill News,Keith Gibson,2023-02-22,Coming Soon,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_013,Newsletter203.pdf,Newsletter 203:Keith's Corner-McGill News,Keith Gibson,2023-02-23,Coming Soon,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_014,Newsletter204.pdf,Newsletter 204:Keith's Corner-McGill News,Keith Gibson,2023-02-24,Coming Soon,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_015,Newsletter205.pdf,Newsletter 205:Keith's Corner-McGill News,Keith Gibson,2023-02-25,Coming Soon,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_016,Newsletter206.pdf,Newsletter 206:Keith's Corner-McGill News,Keith Gibson,2023-02-26,Coming Soon,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_017,Newsletter207.pdf,Newsletter 207:Keith's Corner-McGill News,Keith Gibson,2023-02-27,Coming Soon,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_018,Newsletter208.pdf,Newsletter 208:Keith's Corner-McGill News,Keith Gibson,2023-02-28,Coming Soon,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_019,Newsletter209.pdf,Newsletter 209:Keith's Corner-McGill News,Keith Gibson,2023-03-01,Coming Soon,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_020,Newsletter210.pdf,Newsletter 210:Keith's Corner-McGill News,Keith Gibson,2023-03-02,Coming Soon,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_021,Newsletter211.pdf,Newsletter 211:Keith's Corner-McGill News,Keith Gibson,2023-03-03,Coming Soon,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_022,Newsletter212.pdf,Newsletter 212:Keith's Corner-McGill News,Keith Gibson,2023-03-04,Coming Soon,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_023,Newsletter213.pdf,Newsletter 213:Keith's Corner-McGill News,Keith Gibson,2023-03-05,Coming Soon,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_024,Newsletter214.pdf,Newsletter 214:Keith's Corner-McGill News,Keith Gibson,2023-01-30,Coming Soon,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_025,Newsletter215.pdf,Newsletter 215:Keith's Corner-McGill News,Keith Gibson,2023-01-31,Coming Soon,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_026,Newsletter216.pdf,Newsletter 216:Keith's Corner-McGill News,Keith Gibson,2023-02-01,Coming Soon,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_027,Newsletter217.pdf,Newsletter 217:Keith's Corner-McGill News,Keith Gibson,2023-02-02,Coming Soon,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_028,Newsletter218.pdf,Newsletter 218:Keith's Corner-McGill News,Keith Gibson,2023-02-03,Coming Soon,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_029,Newsletter219.pdf,Newsletter 219:Keith's Corner-McGill News,Keith Gibson,2023-02-04,Coming Soon,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_030,Newsletter220.pdf,Newsletter 220:Keith's Corner-McGill News,Keith Gibson,2023-02-05,Coming Soon,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_031,Newsletter221.pdf,Newsletter 221:Keith's Corner-McGill News,Keith Gibson,2023-02-06,Coming Soon,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_032,Newsletter222.pdf,Newsletter 222:Keith's Corner-McGill News,Keith Gibson,2023-02-07,Coming Soon,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_033,Newsletter223.pdf,Newsletter 223:Keith's Corner-McGill News,Keith Gibson,2023-02-08,Coming Soon,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_034,Newsletter224.pdf,Newsletter 224:Keith's Corner-McGill News,Keith Gibson,2023-02-09,Coming Soon,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_035,Newsletter225.pdf,Newsletter 225:Keith's Corner-McGill News,Keith Gibson,2023-02-10,Coming Soon,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_036,Newsletter226.pdf,Newsletter 226:Keith's Corner-McGill News,Keith Gibson,2023-02-11,Coming Soon,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_037,Newsletter227.pdf,Newsletter 227:Keith's Corner-McGill News,Keith Gibson,2023-02-12,Coming Soon,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_038,Newsletter228.pdf,Newsletter 228:Keith's Corner-McGill News,Keith Gibson,2023-02-13,Coming Soon,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_039,Newsletter229.pdf,Newsletter 229:Keith's Corner-McGill News,Keith Gibson,2023-02-14,Coming Soon,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_040,Newsletter230.pdf,Newsletter 230:Keith's Corner-McGill News,Keith Gibson,2023-02-15,Coming Soon,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_041,Newsletter231.pdf,Newsletter 231:Keith's Corner-McGill News,Keith Gibson,2023-02-16,Coming Soon,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_042,Newsletter232.pdf,Newsletter 232:Keith's Corner-McGill News,Keith Gibson,2023-02-17,Coming Soon,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_043,Newsletter233.pdf,Newsletter 233:Keith's Corner-McGill News,Keith Gibson,2023-02-18,Coming Soon,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_044,Newsletter234.pdf,Newsletter 234:Keith's Corner-McGill News,Keith Gibson,2023-02-19,Coming Soon,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_045,Newsletter235.pdf,Newsletter 235:Keith's Corner-McGill News,Keith Gibson,2023-02-20,Coming Soon,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_046,Newsletter236.pdf,Newsletter 236:Keith's Corner-McGill News,Keith Gibson,2023-02-21,Coming Soon,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_047,Newsletter237.pdf,Newsletter 237:Keith's Corner-McGill News,Keith Gibson,2023-02-22,Coming Soon,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_048,Newsletter238.pdf,Newsletter 238:Keith's Corner-McGill News,Keith Gibson,2023-02-23,Coming Soon,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_049,Newsletter239.pdf,Newsletter 239:Keith's Corner-McGill News,Keith Gibson,2023-02-24,Coming Soon,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_050,Newsletter240.pdf,Newsletter 240:Keith's Corner-McGill News,Keith Gibson,2023-02-25,Coming Soon,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_051,Newsletter241.pdf,Newsletter 241:Keith's Corner-McGill News,Keith Gibson,2023-02-26,Coming Soon,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_052,Newsletter242.pdf,Newsletter 242:Keith's Corner-McGill News,Keith Gibson,2023-02-27,Coming Soon,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_054,mcgill_ladies_bb_team.jpg,McGill Ladies Baseball Team,Keith Gibson,1920,Baseball in McGill was not only for the men! Ladies played as well.,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,image/jpeg,eng,
news_055,keith_dave_bill_1953.jpg,McGill Friends,Keith Gibson,1953,"Friends Keith, Dave and Bill hang together in 1953.",,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,image/jpeg,eng,
news_056,mansion_1920s.jpg,Mansion on the Circle,Keith Gibson,1922,Administrator's mansion on the circle.,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,image/jpeg,eng,
news_057,snow_012823.jpg,Snow in January,Keith Gibson,2023,Snow comes to McGill at 15 degrees below zero.,,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,image/jpeg,eng,